setting,nominal,eps,N_cal,N_min,cal_status,q_frozen,q_L,q_joint,tau_joint,D_all,D_seq,D_dep,D_need,CX_q_joint,population,policy,q_policy,N,omitted,coverage,k_L,k_L_over_N,k_L_CP95_lo,k_L_CP95_hi,k_W,changed,change_rate,change_CP95_lo,change_CP95_hi,correct_b,correct_policy,dAcc,dAcc_CI95_lo,dAcc_CI95_hi,correct_R,G_pts,retention,CP_upper_lt_eps,kL_rate_gt_eps,source,label,note
large/OBQA/Text,True,0.01,1366,688,feasible,0.8,0.65,0.65,7.987022399902344e-06,143,8,4,8,0.6,held-out OBQA 744,frozen,0.8,744,595,0.7997311827956989,9,0.012096774193548387,0.005545927031415291,0.02283878218961963,2,12,0.020168067226890758,0.010463502254555295,0.03496433812646629,647,640,-0.009408602150537635,-0.01881720430107527,-0.0013440860215053765,618,3.8978494623655915,0.7586206896551724,False,True,$DATA_DIR/P2_R3_E9BC_20260920T061042Z/analysis/SEALED_ROUTES.jsonl,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
large/OBQA/Text,True,0.01,1366,688,feasible,0.8,0.65,0.65,7.987022399902344e-06,143,8,4,8,0.6,held-out OBQA 744,joint,0.65,744,485,0.6518817204301075,2,0.002688172043010753,0.0003257160589888632,0.009676565437152732,1,3,0.006185567010309278,0.0012774336740891403,0.01796965159184491,647,646,-0.0013440860215053765,-0.005376344086021506,0.002688172043010753,618,3.8978494623655915,0.9655172413793104,True,False,$DATA_DIR/P2_R3_E9BC_20260920T061042Z/analysis/SEALED_ROUTES.jsonl,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
large/OBQA/Text,True,0.02,1366,342,feasible,0.8,0.75,0.75,0.0002611875534057617,143,18,12,18,0.75,held-out OBQA 744,frozen,0.8,744,595,0.7997311827956989,9,0.012096774193548387,0.005545927031415291,0.02283878218961963,2,12,0.020168067226890758,0.010463502254555295,0.03496433812646629,647,640,-0.009408602150537635,-0.01881720430107527,-0.0013440860215053765,618,3.8978494623655915,0.7586206896551724,False,False,$DATA_DIR/P2_R3_E9BC_20260920T061042Z/analysis/SEALED_ROUTES.jsonl,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
large/OBQA/Text,True,0.02,1366,342,feasible,0.8,0.75,0.75,0.0002611875534057617,143,18,12,18,0.75,held-out OBQA 744,joint,0.75,744,558,0.75,4,0.005376344086021506,0.0014667574380930737,0.0137079268580956,2,7,0.012544802867383513,0.005058133268980591,0.025675445852570946,647,645,-0.002688172043010753,-0.009408602150537635,0.004032258064516129,618,3.8978494623655915,0.9310344827586207,True,False,$DATA_DIR/P2_R3_E9BC_20260920T061042Z/analysis/SEALED_ROUTES.jsonl,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
large/ARC/Text,False,0.01,448,688,infeasible at eps,0.95,NONE,NONE,,12,0,N/A,0,NONE,"sealed ARC 1,172",frozen,0.95,1172,1100,0.9385665529010239,12,0.010238907849829351,0.005301469749020033,0.017816944221173043,7,20,0.01818181818181818,0.011140405943165652,0.027941229300566528,1085,1080,-0.004266211604095563,-0.011945392491467578,0.002559726962457338,not stored (R executed only where the frozen policy omitted),,N/A,False,True,$DATA_DIR/P2_FINAL_SEALED_ARC_CONFIRMATION_20260914T211958Z/records/e2e_requests.jsonl (e17_common.load_sealed),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
large/ARC/Text,False,0.01,448,688,infeasible at eps,0.95,NONE,NONE,,12,0,N/A,0,NONE,"sealed ARC 1,172",joint,NONE,,,,,,,,,,,,,,,,,,,,,,,,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",q_joint = NONE -> N/A
large/ARC/Text,False,0.02,448,342,feasible,0.95,0.8,0.8,8.940696716308594e-07,12,1,0,1,NONE,"sealed ARC 1,172",frozen,0.95,1172,1100,0.9385665529010239,12,0.010238907849829351,0.005301469749020033,0.017816944221173043,7,20,0.01818181818181818,0.011140405943165652,0.027941229300566528,1085,1080,-0.004266211604095563,-0.011945392491467578,0.002559726962457338,not stored (R executed only where the frozen policy omitted),,N/A,True,False,$DATA_DIR/P2_FINAL_SEALED_ARC_CONFIRMATION_20260914T211958Z/records/e2e_requests.jsonl (e17_common.load_sealed),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
large/ARC/Text,False,0.02,448,342,feasible,0.95,0.8,0.8,8.940696716308594e-07,12,1,0,1,NONE,"sealed ARC 1,172",joint,0.8,1172,926,0.7901023890784983,0,0.0,0.0,0.00314255985600768,0,0,0.0,0.0,0.003975746825053421,1085,1085,0.0,0.0,0.0,not stored (R executed only where the frozen policy omitted),,N/A,True,False,$DATA_DIR/P2_FINAL_SEALED_ARC_CONFIRMATION_20260914T211958Z/records/e2e_requests.jsonl (e17_common.load_sealed),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
large/MMLU-Pro/Text,False,0.01,6000,688,feasible,0.4,0.45,0.4,3.838539123535156e-05,1295,153,67,67,0.4,none (MMLU-Pro: no unused data),joint,,,,,,,,,,,,,,,,,,,,,,,,,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",N/A
large/MMLU-Pro/Text,False,0.02,6000,342,feasible,0.4,0.6,0.4,3.838539123535156e-05,1295,361,67,67,0.4,none (MMLU-Pro: no unused data),joint,,,,,,,,,,,,,,,,,,,,,,,,,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",N/A
large/OBQA/Text+fact,True,0.01,1366,688,feasible,0.75,0.55,0.55,3.5762786865234375e-07,170,7,3,7,0.55,held-out OBQA 744,frozen,0.75,744,558,0.75,13,0.01747311827956989,0.009335669086536241,0.029694227133512316,2,16,0.02867383512544803,0.01647651395534893,0.046147654682029395,678,667,-0.01478494623655914,-0.025537634408602152,-0.005376344086021506,618,8.064516129032258,0.8166666666666667,False,True,$DATA_DIR/P2_R3_E9BC_20260920T061042Z/analysis/SEALED_ROUTES.jsonl,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
large/OBQA/Text+fact,True,0.01,1366,688,feasible,0.75,0.55,0.55,3.5762786865234375e-07,170,7,3,7,0.55,held-out OBQA 744,joint,0.55,744,404,0.543010752688172,2,0.002688172043010753,0.0003257160589888632,0.009676565437152732,0,2,0.0049504950495049506,0.0006000911979088712,0.017767628668557457,678,676,-0.002688172043010753,-0.006720430107526882,0.0,618,8.064516129032258,0.9666666666666667,True,False,$DATA_DIR/P2_R3_E9BC_20260920T061042Z/analysis/SEALED_ROUTES.jsonl,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
large/OBQA/Text+fact,True,0.02,1366,342,feasible,0.75,0.7,0.7,4.5418739318847656e-05,170,22,16,22,0.65,held-out OBQA 744,frozen,0.75,744,558,0.75,13,0.01747311827956989,0.009335669086536241,0.029694227133512316,2,16,0.02867383512544803,0.01647651395534893,0.046147654682029395,678,667,-0.01478494623655914,-0.025537634408602152,-0.005376344086021506,618,8.064516129032258,0.8166666666666667,False,False,$DATA_DIR/P2_R3_E9BC_20260920T061042Z/analysis/SEALED_ROUTES.jsonl,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
large/OBQA/Text+fact,True,0.02,1366,342,feasible,0.75,0.7,0.7,4.5418739318847656e-05,170,22,16,22,0.65,held-out OBQA 744,joint,0.7,744,522,0.7016129032258065,8,0.010752688172043012,0.0046533596144199725,0.02107665727379107,2,10,0.019157088122605363,0.009223853402828202,0.034947691661743094,678,672,-0.008064516129032258,-0.016129032258064516,0.0,618,8.064516129032258,0.9,False,False,$DATA_DIR/P2_R3_E9BC_20260920T061042Z/analysis/SEALED_ROUTES.jsonl,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
Llama-3.1-8B/OBQA/Text,False,0.01,1366,688,feasible,0.6,0.45,0.45,0.001936495304107666,217,12,7,12,0.35,held-out OBQA 744 (E16-1),frozen,0.6,744,440,0.5913978494623656,3,0.004032258064516129,0.0008323217378151984,0.011738373398678779,0,3,0.006818181818181818,0.0014082861539551354,0.019795406447589082,618,615,-0.004032258064516129,-0.009408602150537635,0.0,598,2.6881720430107525,0.85,False,False,$DATA_DIR/P2_R7_E16_20260921T184114Z/results/analysis_oos/routes_llama_obqa.jsonl,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
Llama-3.1-8B/OBQA/Text,False,0.01,1366,688,feasible,0.6,0.45,0.45,0.001936495304107666,217,12,7,12,0.35,held-out OBQA 744 (E16-1),joint,0.45,744,327,0.43951612903225806,1,0.0013440860215053765,3.402873281637778e-05,0.007465800419593294,0,1,0.0030581039755351682,7.742149205017788e-05,0.016920035638371914,618,617,-0.0013440860215053765,-0.004032258064516129,0.0,598,2.6881720430107525,0.95,True,False,$DATA_DIR/P2_R7_E16_20260921T184114Z/results/analysis_oos/routes_llama_obqa.jsonl,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
Llama-3.1-8B/OBQA/Text,False,0.02,1366,342,feasible,0.6,0.6,0.6,0.009371757507324219,217,32,21,21,0.5,held-out OBQA 744 (E16-1),frozen,0.6,744,440,0.5913978494623656,3,0.004032258064516129,0.0008323217378151984,0.011738373398678779,0,3,0.006818181818181818,0.0014082861539551354,0.019795406447589082,618,615,-0.004032258064516129,-0.009408602150537635,0.0,598,2.6881720430107525,0.85,True,False,$DATA_DIR/P2_R7_E16_20260921T184114Z/results/analysis_oos/routes_llama_obqa.jsonl,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
Llama-3.1-8B/OBQA/Text,False,0.02,1366,342,feasible,0.6,0.6,0.6,0.009371757507324219,217,32,21,21,0.5,held-out OBQA 744 (E16-1),joint,0.6,744,440,0.5913978494623656,3,0.004032258064516129,0.0008323217378151984,0.011738373398678779,0,3,0.006818181818181818,0.0014082861539551354,0.019795406447589082,618,615,-0.004032258064516129,-0.009408602150537635,0.0,598,2.6881720430107525,0.85,True,False,$DATA_DIR/P2_R7_E16_20260921T184114Z/results/analysis_oos/routes_llama_obqa.jsonl,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
Llama-3.1-8B/ARC/Text,False,0.01,448,688,infeasible at eps,0.7,NONE,NONE,,40,0,N/A,0,NONE,"ARC test 1,172 (E16-1)",frozen,0.7,1172,794,0.6774744027303754,8,0.006825938566552901,0.002951426593539974,0.013405303903940674,6,15,0.018891687657430732,0.01061112650804241,0.030967784869961514,993,991,-0.0017064846416382253,-0.007679180887372013,0.004266211604095563,953,3.4129692832764507,0.95,False,False,$DATA_DIR/P2_R7_E16_20260921T184114Z/results/analysis_oos/routes_llama_arc.jsonl,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
Llama-3.1-8B/ARC/Text,False,0.01,448,688,infeasible at eps,0.7,NONE,NONE,,40,0,N/A,0,NONE,"ARC test 1,172 (E16-1)",joint,NONE,,,,,,,,,,,,,,,,,,,,,,,,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",q_joint = NONE -> N/A
Llama-3.1-8B/ARC/Text,False,0.02,448,342,feasible,0.7,0.45,0.45,0.0009936094284057617,40,1,0,1,NONE,"ARC test 1,172 (E16-1)",frozen,0.7,1172,794,0.6774744027303754,8,0.006825938566552901,0.002951426593539974,0.013405303903940674,6,15,0.018891687657430732,0.01061112650804241,0.030967784869961514,993,991,-0.0017064846416382253,-0.007679180887372013,0.004266211604095563,953,3.4129692832764507,0.95,True,False,$DATA_DIR/P2_R7_E16_20260921T184114Z/results/analysis_oos/routes_llama_arc.jsonl,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
Llama-3.1-8B/ARC/Text,False,0.02,448,342,feasible,0.7,0.45,0.45,0.0009936094284057617,40,1,0,1,NONE,"ARC test 1,172 (E16-1)",joint,0.45,1172,519,0.44283276450511944,2,0.0017064846416382253,0.00020673006022284483,0.006150684327553566,2,4,0.007707129094412331,0.0021038099151844828,0.019614924093722796,993,993,0.0,-0.0034129692832764505,0.0034129692832764505,953,3.4129692832764507,1.0,True,False,$DATA_DIR/P2_R7_E16_20260921T184114Z/results/analysis_oos/routes_llama_arc.jsonl,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
