policy,population,main_text_row,N,N_u0,share_u0_all,n,k,n0,k0,rate0,CP0_lo,CP0_hi,n_pos,k_pos,rate_pos,CPpos_lo,CPpos_hi,n0_over_n,p_pos_H0_rho_ge_05,trigger_kpos_CPlo_gt_05,trigger_n0n_ge_90,label
large/OBQA/Text,cal,True,1366,642,0.4699853587115666,1064,18,642,1,0.001557632398753894,3.943506039932285e-05,0.008647735437862906,422,17,0.04028436018957346,0.023639300853212412,0.06371712398345623,0.6033834586466166,0.21401380483084845,False,False,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
large/OBQA/Text,dev,True,742,354,0.477088948787062,572,19,354,2,0.005649717514124294,0.0006849408240855525,0.020258669804245087,218,17,0.0779816513761468,0.046082083884524505,0.12192122966868937,0.6188811188811189,,False,False,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
large/OBQA/Text,held-out 744 OBQA,True,744,346,0.4650537634408602,595,12,346,1,0.002890173410404624,7.317017837783409e-05,0.015997034052550485,249,11,0.04417670682730924,0.022256106798768105,0.0776681128429494,0.5815126050420169,,False,False,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
large/OBQA/C2C,cal,True,1366,642,0.4699853587115666,1064,22,642,2,0.003115264797507788,0.0003774959293138173,0.011207709624215507,422,20,0.04739336492890995,0.029185999196048338,0.07224841057711129,0.6033834586466166,0.4598792115541102,False,False,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
large/OBQA/C2C,dev,True,742,354,0.477088948787062,572,13,354,1,0.002824858757062147,7.151667415476436e-05,0.01563785144528763,218,12,0.05504587155963303,0.0287631005211831,0.09417928887409725,0.6188811188811189,,False,False,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
large/OBQA/C2C,held-out 744 OBQA,True,744,346,0.4650537634408602,595,13,346,2,0.005780346820809248,0.0007007950017830541,0.020723542081506872,249,11,0.04417670682730924,0.022256106798768105,0.0776681128429494,0.5815126050420169,,False,False,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
large/ARC/Text,cal,True,448,321,0.7165178571428571,422,4,321,0,0.0,0.0,0.011426057369519968,101,4,0.039603960396039604,0.010894483716810326,0.0983050186200594,0.7606635071090048,0.4270741686072253,False,False,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
large/ARC/Text,dev,True,299,217,0.725752508361204,284,9,217,0,0.0,0.0,0.01685576921781151,67,9,0.13432835820895522,0.06330822616769406,0.2397417520625535,0.7640845070422535,,True,False,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
large/ARC/Text,"sealed ARC 1,172",True,1172,837,0.7141638225255973,1100,20,837,0,0.0,0.0,0.004397565652813641,263,20,0.07604562737642585,0.04706743089179829,0.11500440623272705,0.7609090909090909,,False,False,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
large/ARC/C2C,cal,True,448,321,0.7165178571428571,404,7,321,2,0.006230529595015576,0.0007554386842811592,0.022324394022762442,83,5,0.060240963855421686,0.01984732124174054,0.1350082396842335,0.7945544554455446,0.7648776318681653,False,False,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
large/ARC/C2C,dev,True,299,217,0.725752508361204,270,3,217,1,0.004608294930875576,0.00011666512029039178,0.02540694002464814,53,2,0.03773584905660377,0.004603109274314913,0.1297583816630624,0.8037037037037037,,False,False,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
large/ARC/C2C,"sealed ARC 1,172",True,1172,837,0.7141638225255973,1047,11,837,0,0.0,0.0,0.004397565652813641,210,11,0.05238095238095238,0.026435105090309184,0.09178957401920285,0.7994269340974212,,False,False,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
medium/OBQA/C2C q=.55,cal,True,1366,601,0.43997071742313326,739,19,601,7,0.011647254575707155,0.0046952709000923866,0.023849819290038928,138,12,0.08695652173913043,0.04574111214972829,0.14696906745289737,0.8132611637347767,0.9786509942812159,False,False,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
medium/OBQA/C2C q=.55,dev,True,742,321,0.4326145552560647,390,11,321,7,0.021806853582554516,0.008811385089797655,0.04441238876058343,69,4,0.057971014492753624,0.01601915853309327,0.14182890779228532,0.823076923076923,,False,False,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
medium/OBQA/C2C q=.55,held-out 744 OBQA,True,744,306,0.4112903225806452,388,8,306,5,0.016339869281045753,0.0053262541212958075,0.037717803816950814,82,3,0.036585365853658534,0.007609277302094527,0.10321502161816952,0.788659793814433,,False,False,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
medium/OBQA/C2C q=.50,cal,False,1366,601,0.43997071742313326,665,10,601,7,0.011647254575707155,0.0046952709000923866,0.023849819290038928,64,3,0.046875,0.009773074954456548,0.13093573724140584,0.9037593984962407,0.601409264851612,False,False,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
medium/OBQA/C2C q=.50,dev,False,742,321,0.4326145552560647,355,7,321,7,0.021806853582554516,0.008811385089797655,0.04441238876058343,34,0,0.0,0.0,0.10281792425901262,0.9042253521126761,,False,True,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
medium/OBQA/C2C q=.50,held-out 744 OBQA,False,744,306,0.4112903225806452,346,6,306,5,0.016339869281045753,0.0053262541212958075,0.037717803816950814,40,1,0.025,0.0006327449320494191,0.13158585848276572,0.884393063583815,,False,False,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
medium/ARC/C2C,cal,True,448,256,0.5714285714285714,290,1,256,1,0.00390625,9.889279722355363e-05,0.021570890352533498,34,0,0.0,0.0,0.10281792425901262,0.8827586206896552,0.17482461472379734,False,False,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
medium/ARC/C2C,dev,True,299,174,0.5819397993311036,189,4,174,1,0.005747126436781609,0.00014549405830062908,0.03160343344421703,15,3,0.2,0.0433120051058366,0.48089113380685305,0.9206349206349206,,False,True,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
large/MMLU-Pro/Text,cal,True,6000,1442,0.24033333333333334,2358,67,1442,14,0.009708737864077669,0.005317733797785762,0.01623600882971711,916,53,0.05786026200873363,0.043638114017705655,0.07500268747764299,0.6115351993214588,0.8770757574679342,False,False,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
large/MMLU-Pro/Text,dev,True,2641,645,0.24422567209390383,1069,40,645,8,0.012403100775193798,0.0053695735889119495,0.024292151415616157,424,32,0.07547169811320754,0.05219274983861026,0.1048750744937214,0.6033676333021516,,True,False,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
large/MMLU-Pro/C2C,cal,True,6000,1442,0.24033333333333334,2358,75,1442,9,0.0062413314840499305,0.0028577880467230607,0.011814791925295113,916,66,0.07205240174672489,0.05616025428550954,0.09075911731266352,0.6115351993214588,0.9985100160230885,False,False,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
large/MMLU-Pro/C2C,dev,True,2641,645,0.24422567209390383,1069,37,645,5,0.007751937984496124,0.002521685149128442,0.017997082095848327,424,32,0.07547169811320754,0.05219274983861026,0.1048750744937214,0.6033676333021516,,True,False,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
large/OBQA/Text+fact,cal,True,1366,642,0.4699853587115666,999,22,642,2,0.003115264797507788,0.0003774959293138173,0.011207709624215507,357,20,0.056022408963585436,0.034552071593618915,0.08519843042031315,0.6426426426426426,0.7469760949831658,False,False,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
large/OBQA/Text+fact,dev,True,742,354,0.477088948787062,536,13,354,1,0.002824858757062147,7.151667415476436e-05,0.01563785144528763,182,12,0.06593406593406594,0.03453040275284158,0.11234061930224062,0.6604477611940298,,False,False,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
large/OBQA/Text+fact,held-out 744 OBQA,True,744,346,0.4650537634408602,558,16,346,1,0.002890173410404624,7.317017837783409e-05,0.015997034052550485,212,15,0.07075471698113207,0.04013917575973834,0.11401442665264232,0.6200716845878136,,False,False,"POST-HOC re-analysis (E14, PREREG_E14.md); descriptive, not a new certificate"
